ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,PaymentReceived,ReceivedDate,JobTitle,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails,Link
5919,"Payment received on 28 May 2024 - £3,000.00",5193,2024-05-28,2024-05-28,,Employment and earnings - Ad hoc payments,4475,Suella Braverman,True,2024-05-28,,Monetary,for articles.,3000.00,12.00,approx,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5919
5926,Payment received on 30 April 2024 - £925.44,4169,2024-05-16,2024-05-28,,Employment and earnings - Ad hoc payments,420,Yvette Cooper,True,2024-04-30,,Monetary,for additional sales of a book already published.,925.44,0.00,no additional hours,True,Atlantic Books Ltd,False,"Ormond House, 27 Boswell Street, London WC1 3JZ",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5926
5833,"Payment expected for services on 25 April 2024 - £14,328.00",5169,2024-05-28,2024-05-28,,Employment and earnings - Ad hoc payments,4097,Elizabeth Truss,False,2024-04-25,,Monetary,"for a speech. The total is comprised of a payment of approx. £9,600, plus accommodation for me and a staff member valued at approx. £4,728.",14328.00,3.00,approx,True,Pepperdine University,False,"24255 Pacific Coast Hway, Malibu, CA 90263, USA",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5833
5927,Payment expected for services on 28 March 2024 - £743.81,4341,2024-05-28,2024-05-28,,Employment and earnings - Ad hoc payments,1466,Dr Andrew Murrison,False,2024-03-28,,Monetary,"for work undertaken on 8 and 11 February, 23, 24 and 28 March 2024.",743.81,18.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5927
5935,"Payment received on 08 May 2024 - £8,200.00",3825,2024-05-28,2024-05-28,,Employment and earnings - Ad hoc payments,4504,Wes Streeting,True,2024-05-08,,Monetary,as a fourth and final advance payment for writing a book.,8200.00,0.00,no additional hours,True,Hodder & Stoughton,False,"Carmelite House, 50 Victoria Embankment, London EC4Y 0DZ",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5935
5839,"Payment received on 21 May 2024 - £2,400.00",3460,2024-05-22,2024-05-24,,Employment and earnings - Ad hoc payments,4060,Sir Jake Berry,True,2024-05-21,,Monetary,for hosting two shows on Talk TV.,2400.00,8.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5839
5858,"Payment expected for services on 31 March 2024 - £4,750.00",5123,2024-05-23,2024-05-23,,Employment and earnings - Ad hoc payments,3912,Richard Fuller,False,2024-03-31,,Monetary,"for three months notice for April, May and June 2024.",4750.00,0.00,none,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5858
5787,Payment received on 10 May 2024 - £221.40,4247,2024-05-17,2024-05-21,,Employment and earnings - Ad hoc payments,4737,Dehenna Davison,True,2024-05-10,,Monetary,for being a panellist on the Jeremy Vine Show on 22 January 2024.,221.40,1.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5787
5788,Payment received on 10 May 2024 - £221.40,4247,2024-05-17,2024-05-21,,Employment and earnings - Ad hoc payments,4737,Dehenna Davison,True,2024-05-10,,Monetary,for being a panellist on the Jeremy Vine Show on 11 March 2024.,221.40,1.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5788
5791,Payment expected for services on 14 May 2024 - £150.00,3946,2024-05-17,2024-05-17,,Employment and earnings - Ad hoc payments,4498,Mr Ranil Jayawardena,False,2024-05-14,,Monetary,,150.00,0.75,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5791
5795,Payment received on 15 May 2024 - £250.00,3680,2024-05-15,2024-05-17,,Employment and earnings - Ad hoc payments,152,Sir Iain Duncan Smith,True,2024-05-15,,Monetary,,250.00,4.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5795
5771,"Payment received on 26 April 2024 - £1,000.00",5770,2024-05-15,2024-05-17,,Employment and earnings - Ad hoc payments,4125,Catherine McKinnell,True,2024-04-26,,Monetary,for a speech at Maths Summit on financial education.,1000.00,1.00,,False,,False,,,True,Paid direct to the recipient by the payer,Charity,,https://interests-api.parliament.uk/api/v1/Interests/5771
5789,Payment expected for services on 14 May 2024 - £150.00,3818,2024-05-16,2024-05-17,,Employment and earnings - Ad hoc payments,4110,Dame Karen Bradley,False,2024-05-14,,Monetary,for a meeting.,150.00,2.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5789
