ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,RegularityOfPayment,StartDate,EndDate,PeriodForHoursWorked,JobTitle,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails,Link,Updated_2,Updated_3,Updated_4,Updated_5,Updated_6,Updated_7,Updated_8,Updated_9,Updated_10,Updated_11,Updated_12,Updated_13,Updated_14,Updated_15,Updated_16,Updated_17
5631,"Agreement starting 01 May 2024 - £1,300.00",5629,2024-05-07,2024-05-07,,Employment and earnings - Ongoing paid employment,111,Nick Gibb,Monthly,2024-05-01,2025-05-31,Monthly,,Monetary,,1300.00,7.00,approx.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5631,,,,,,,,,,,,,,,,
5622,Agreement starting 01 July 2021 - £0.00,4860,2021-07-26,2024-05-07,2024-04-30,Employment and earnings - Ongoing paid employment,4803,Paul Holmes,Yearly,2021-07-01,,Monthly,,Monetary,(see additional information below),0.00,15.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5622,,,,,,,,,,,,,,,,
5540,"Agreement starting 01 April 2022 - £53,169.60",4184,2024-04-19,2024-04-29,,Employment and earnings - Ongoing paid employment,4663,Ben Bradley,Yearly,2022-04-01,,Weekly,,Monetary,"(paid monthly) comprised of my salary as Council Leader (£37,274.64) plus my basic allowance (£15,894.96).",53169.60,30.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5540,,,,,,,,,,,,,,,,
4879,"Agreement starting 27 January 2023 - £10,000.00",4878,2023-02-21,2024-04-25,2023-02-27,Employment and earnings - Ongoing paid employment,4009,Sir Brandon Lewis,Yearly,2023-01-27,,Monthly,,In kind,in the form of the use of a company car,10000.00,4.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/4879,2023-03-01,2023-07-31,2024-04-25,,,,,,,,,,,,,
5423,"Agreement starting 25 March 2024 - £1,500.00",5421,2024-04-23,2024-04-24,,Employment and earnings - Ongoing paid employment,4020,George Freeman,Monthly,2024-03-25,,Monthly,,Monetary,for helping identify private sector members and developing a business plan and investment proposition.,1500.00,8.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5423,,,,,,,,,,,,,,,,
5390,"Agreement starting 15 April 2024 - £1,000.00",5389,2024-04-18,2024-04-19,,Employment and earnings - Ongoing paid employment,1565,Sir Philip Davies,Monthly,2024-04-15,,Monthly,,Monetary,,1000.00,2.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5390,,,,,,,,,,,,,,,,
5124,"Agreement starting 01 April 2023 - £20,000.00",5123,2023-04-14,2024-04-15,2024-04-15,Employment and earnings - Ongoing paid employment,3912,Richard Fuller,Yearly,2023-04-01,2024-03-31,Monthly,,Monetary,,20000.00,5.00,expected commitment,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5124,2024-05-23,,,,,,,,,,,,,,,
4862,"Agreement starting 06 March 2023 - £25,000.00",4861,2023-03-20,2024-04-15,2024-04-10,Employment and earnings - Ongoing paid employment,3945,Sir Sajid Javid,Monthly,2023-03-06,2024-04-05,Monthly,,Monetary,"for providing advice on global economic outlook, geo-politics and financial markets.",25000.00,10.00,(between 8 and 10 hrs),False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/4862,,,,,,,,,,,,,,,,
5311,"Agreement starting 15 April 2024 - £50,000.00",5309,2024-04-15,2024-04-15,,Employment and earnings - Ongoing paid employment,4116,Sir Michael Ellis,Yearly,2024-04-15,,Monthly,,Monetary,,50000.00,4.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5311,,,,,,,,,,,,,,,,
5280,"Agreement starting 06 April 2024 - £50,000.00",4861,2024-04-10,2024-04-14,,Employment and earnings - Ongoing paid employment,3945,Sir Sajid Javid,Monthly,2024-04-06,,Monthly,,Monetary,,50000.00,20.00,(approx. 16 - 20 hrs),False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5280,,,,,,,,,,,,,,,,
5213,"Agreement starting 04 April 2024 - £1,000.00",5212,2024-04-11,2024-04-14,,Employment and earnings - Ongoing paid employment,4659,Andrew Lewer,Monthly,2024-04-04,,Monthly,,Monetary,,1000.00,6.00,(approx. 4-6 hours),False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5213,,,,,,,,,,,,,,,,
4908,"Agreement starting 01 March 2024 - £32,500.00",4907,2024-03-26,2024-03-29,,Employment and earnings - Ongoing paid employment,4014,Lord Sharma,Quarterly,2024-03-01,,Quarterly,,Monetary,,32500.00,30.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/4908,,,,,,,,,,,,,,,,
4975,"Agreement starting 17 January 2024 - £118,000.00",4974,2024-01-19,2024-03-18,,Employment and earnings - Ongoing paid employment,4007,Dominic Raab,Yearly,2024-01-17,,Monthly,,Monetary,"plus any applicable VAT. In addition, I will receive 0.1% of the profits of these funds: Appian Natural Resources Fund III and Appian Credit Strategies.",118000.00,44.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/4975,,,,,,,,,,,,,,,,
5026,"Agreement starting 06 October 2022 - £4,000.00",5025,2022-10-17,2024-03-18,2023-10-25,Employment and earnings - Ongoing paid employment,1560,Sir Jeremy Wright,Monthly,2022-10-06,2024-05-07,Weekly,,Monetary,,4000.00,8.00,(up to 8 hours a week),False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/5026,2024-02-08,2024-05-15,,,,,,,,,,,,,,
4924,"Agreement starting 30 June 2023 - £16,959.00",4923,2023-06-30,2024-03-18,,Employment and earnings - Ongoing paid employment,4656,Layla Moran,Yearly,2023-06-30,,Yearly,,Monetary,paid quarterly and backdated to 1 April 2023,16959.00,120.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/4924,,,,,,,,,,,,,,,,
4930,"Agreement starting 04 January 2023 - £3,000.00",4928,2023-01-31,2024-03-18,2023-04-21,Employment and earnings - Ongoing paid employment,1601,Sir Robert Neill,Monthly,2023-01-04,,Monthly,,Monetary,,3000.00,6.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/4930,,,,,,,,,,,,,,,,
4834,"Agreement starting 01 October 2020 - £2,500.00",4833,2020-10-26,2024-03-18,2022-09-22,Employment and earnings - Ongoing paid employment,4074,Mark Garnier,Monthly,2020-10-01,2022-08-31,Monthly,,Monetary,,2500.00,10.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/4834,,,,,,,,,,,,,,,,
