ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,JobTitle,StartDate,EndDate,IsUntilFurtherNotice,PayerName,PayerIsPrivateIndividual,IsPaidAsDirectorOfPayer,PayerNatureOfBusiness,PayerPublicAddress,HasSoughtAcobaAdvice,Link,Updated_2,Updated_3,Updated_4,Updated_5,Updated_6,Updated_7,Updated_8
5770,Speaking Engagements - XTX Markets,,,2024-05-17,,Employment and earnings,4125,Catherine McKinnell,Speaking Engagements,,,False,XTX Markets,False,False,,"R7, 14-18 Handyside Street, London N1C 4DN",,https://interests-api.parliament.uk/api/v1/Interests/5770,,,,,,,
5737,Training - Civil Service College,,2024-05-14,2024-05-16,,Employment and earnings,4065,Dame Jackie Doyle-Price,Training,,,False,Civil Service College,False,False,training provider,"25 Queen Anne’s Gate, St James’s, London SW1H 9BU",False,https://interests-api.parliament.uk/api/v1/Interests/5737,,,,,,,
5774,Appearances on ITV's This Morning show - ITV PLC,,,2024-05-16,,Employment and earnings,4573,Dr Rosena Allin-Khan,Appearances on ITV's This Morning show,,,False,ITV PLC,False,False,,"ITV White City, 201 Wood Lane, London W12 7RU",,https://interests-api.parliament.uk/api/v1/Interests/5774,,,,,,,
5606,Interview Fee - Faber and Faber,,,2024-05-14,,Employment and earnings,4764,Bell Ribeiro-Addy,Interview Fee,,,False,Faber and Faber,False,False,Independent Publishing House,"The Bindery, 51 Hatton Garden, London EC1N 8HN",False,https://interests-api.parliament.uk/api/v1/Interests/5606,,,,,,,
5729,Legal services - CGS Solicitors,,,2024-05-13,,Employment and earnings,1508,Sir Geoffrey Cox,Legal services,,,False,CGS Solicitors,False,False,,"4th Floor, 1 Minster Court, Mincing Lane, London EC3R 7AA",,https://interests-api.parliament.uk/api/v1/Interests/5729,,,,,,,
5727,Legal services - Bortoft Bell Solicitors,,,2024-05-13,,Employment and earnings,1508,Sir Geoffrey Cox,Legal services,,,False,Bortoft Bell Solicitors,False,False,,"2 John Street, London WC1N 2ES",,https://interests-api.parliament.uk/api/v1/Interests/5727,,,,,,,
5638,Speaker - Chartwell Speakers,,2024-05-07,2024-05-09,,Employment and earnings,4020,George Freeman,Speaker,2024-04-22,,False,Chartwell Speakers,False,False,speaker bureau and literary agency,"WeWork, Colonnade Walk, 123 Buckingham Palace Road, London SW1W 9SH",True,https://interests-api.parliament.uk/api/v1/Interests/5638,,,,,,,
5629,Consultant - Education Development Trust,,2024-05-07,2024-05-07,,Employment and earnings,111,Nick Gibb,Consultant,2024-05-01,2025-05-31,True,Education Development Trust,False,False,EDT is a global education consultancy,"Highbridge House, 16-18 Duke Street, Reading RG1 4BU",True,https://interests-api.parliament.uk/api/v1/Interests/5629,,,,,,,
5546,Writing a book - Biteback Publishing,,2024-04-29,2024-04-29,,Employment and earnings,4070,Matt Hancock,Writing a book,,,False,Biteback Publishing,False,False,book publishers,"c/o BCA, 21 Marina Court, Castle Street, Hull HU1 1TJ",,https://interests-api.parliament.uk/api/v1/Interests/5546,,,,,,,
5555,Consultant - World Gold Council,,2024-04-29,2024-04-29,,Employment and earnings,4007,Dominic Raab,Consultant,2024-04-29,,False,World Gold Council,False,False,international trade association,"7th Floor, 15 Fetter Lane, London EC4A 1BW",True,https://interests-api.parliament.uk/api/v1/Interests/5555,,,,,,,
5459,"Chair of University Council (RHUL) - Royal Holloway, University of London",,2024-04-24,2024-04-24,,Employment and earnings,140,Baroness Hodge of Barking,Chair of University Council (RHUL),2018-11-21,2027-11-21,True,"Royal Holloway, University of London",False,True,,"Egham Hill, Egham, TW20 0EX",,https://interests-api.parliament.uk/api/v1/Interests/5459,,,,,,,
5421,Chair of Science and Technology Advisory Board - Eastern Powerhouse,,,2024-04-24,,Employment and earnings,4020,George Freeman,Chair of Science and Technology Advisory Board,2024-03-18,,False,Eastern Powerhouse,False,False,,"42 Tavistock Street, London WC2E 7PB",True,https://interests-api.parliament.uk/api/v1/Interests/5421,,,,,,,
5388,Speaking Engagement - WA Communications,,,2024-04-23,,Employment and earnings,4943,Simon Lightwood,Speaking Engagement,,,False,WA Communications,False,False,,"6th Floor, Artillery House, Artillery Row, London SW1P 1RT",,https://interests-api.parliament.uk/api/v1/Interests/5388,,,,,,,
5355,Writing a book - Bonnier Books,,2024-04-17,2024-04-23,,Employment and earnings,435,Lord Brady of Altrincham,Writing a book,,,False,Bonnier Books,False,False,Publisher of Books and the company will be publishing my forthcoming book in November 2024,"Suite 7, The Plaza, 535 Kings Road, London SW10 0SZ",,https://interests-api.parliament.uk/api/v1/Interests/5355,,,,,,,
5320,Royalties for a book - David Luxton,,,2024-04-19,,Employment and earnings,4040,Chris Evans,Royalties for a book,,,False,David Luxton,False,False,Literary Agent,"First Floor, Jebsen House, 53-61 High Street, Ruislip, Middlesex, England, HA4 7BD",,https://interests-api.parliament.uk/api/v1/Interests/5320,,,,,,,
5389,Consultant providing strategic advice - Merkur Gaming UK Limited,,2024-04-18,2024-04-19,,Employment and earnings,1565,Sir Philip Davies,Consultant providing strategic advice,2024-04-15,,False,Merkur Gaming UK Limited,False,False,Arcade Games,"Fortune House, Northgate Terrace, Newark On Trent, Nottinghamshire, England, NG24 2EU",,https://interests-api.parliament.uk/api/v1/Interests/5389,,,,,,,
4482,Library copyright fees - Public Lending Right,,,2024-04-18,,Employment and earnings,4370,Jess Phillips,Library copyright fees,,,False,Public Lending Right,False,False,,"British Library, Boston Spa, Wetherby LS23 7BQ",,https://interests-api.parliament.uk/api/v1/Interests/4482,,,,,,,
3837,Speaking engagements - Chartwell Speakers,,2023-06-20,2024-04-15,2024-04-10,Employment and earnings,4097,Elizabeth Truss,Speaking engagements,,,False,Chartwell Speakers,False,False,,"Colonnade Walk, 123 Buckingham Place Road, London SW1W 9SH",True,https://interests-api.parliament.uk/api/v1/Interests/3837,,,,,,,
5123,Director - Impero Holdings Ltd,,,2024-04-15,2024-04-15,Employment and earnings,3912,Richard Fuller,Director,2023-04-01,2024-03-31,True,Impero Holdings Ltd,False,True,a software company,"2 Tollhouse Hill, Nottingham NG1 5FS",,https://interests-api.parliament.uk/api/v1/Interests/5123,,,,,,,
4680,Chair of the Parliamentary Advisory Board (formerly Editor) of the House Magazine - Political Engagement Ltd (previously Dods Group Limited),,,2024-04-15,2015-05-31,Employment and earnings,435,Lord Brady of Altrincham,Chair of the Parliamentary Advisory Board (formerly Editor) of the House Magazine,2021-02-15,,False,Political Engagement Ltd (previously Dods Group Limited),False,False,,"11th Floor, Millbank, London SW1P 4QP",,https://interests-api.parliament.uk/api/v1/Interests/4680,2015-11-13,2017-06-18,2017-07-03,2020-06-18,2020-12-15,2021-03-04,2024-03-19
5298,Writing one article - Daily Express,,,2024-04-15,,Employment and earnings,4743,Lee Anderson,Writing one article,,,False,Daily Express,False,False,,"One Canada Square, Canary Wharf, London E14 5AP",,https://interests-api.parliament.uk/api/v1/Interests/5298,,,,,,,
4861,Adviser - Centricus Partners LP through its UK subsidiary Centricus Services UK Limited,,2023-03-20,2024-04-15,2024-04-10,Employment and earnings,3945,Sir Sajid Javid,Adviser,2023-03-06,,False,Centricus Partners LP through its UK subsidiary Centricus Services UK Limited,False,False,global investment firm,"IFC 5, St. Helier, Jersey JE1 1ST",True,https://interests-api.parliament.uk/api/v1/Interests/4861,,,,,,,
5309,Senior Consultant - Blackfords LLP,,2024-04-15,2024-04-15,,Employment and earnings,4116,Sir Michael Ellis,Senior Consultant,2024-04-15,,False,Blackfords LLP,False,False,legal firm,"20 Old Bailey, London, EC4M 7AN",True,https://interests-api.parliament.uk/api/v1/Interests/5309,,,,,,,
5282,Practice at the Bar of England and Wales - Thomas More Chambers,,,2024-04-14,2023-08-02,Employment and earnings,1508,Sir Geoffrey Cox,Practice at the Bar of England and Wales,,,False,Thomas More Chambers,False,False,,"7 Lincoln's Inn Fields, London WC2A 3BP",,https://interests-api.parliament.uk/api/v1/Interests/5282,2024-04-12,,,,,,
5212,Non-executive director - Route to Zero,,2024-04-11,2024-04-14,,Employment and earnings,4659,Andrew Lewer,Non-executive director,2024-03-18,,False,Route to Zero,False,True,,"86-90, Paul St, London EC2A 4NE",,https://interests-api.parliament.uk/api/v1/Interests/5212,,,,,,,
5193,Writing articles - Telegraph Media Group Ltd,,,2024-04-10,2024-04-25,Employment and earnings,4475,Suella Braverman,Writing articles,,,False,Telegraph Media Group Ltd,False,False,,"111 Buckingham Palace Road, London SW1W 0DT",True,https://interests-api.parliament.uk/api/v1/Interests/5193,,,,,,,
5144,Speaking Engagement - British Council for Africa,,2024-04-08,2024-04-10,,Employment and earnings,1559,Sir James Duddridge,Speaking Engagement,,,False,British Council for Africa,False,False,"promotes African business, trade and commerce","59-60, Russell Square, London WC1B 4HP",,https://interests-api.parliament.uk/api/v1/Interests/5144,,,,,,,
