ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Updated_2,Category,MNIS ID,Member,JobTitle,Employer,PersonName,EndDate,FamilyMemberRelationshipLevel,FamilyRelationType,Link,Updated_3
1201,Anna Mellitt employed as Lobbyist,,2022-04-25,2023-12-17,2023-03-10,2023-11-21,Family members engaged in third-party lobbying,3992,James Morris,Managing Director,Pepper Shackleton Wellard (PSW Ltd),Anna Mellitt,2023-02-28,Related to member directly,Spouse,https://interests-api.parliament.uk/api/v1/Interests/1201,
1198,Philip Brady employed as Lobbyist,,2015-06-02,2023-12-17,,,Family members engaged in third-party lobbying,1541,Dame Nia Griffith,Freelance public relations consultant,Self Employed,Philip Brady,,Related to spouse,Brother,https://interests-api.parliament.uk/api/v1/Interests/1198,
1202,Joseph Dancey employed as Lobbyist,,2016-01-28,2023-12-17,2021-05-11,,Family members engaged in third-party lobbying,4504,Wes Streeting,Owner and director,"Endeavour Advisory Ltd, which provides communications and public affairs advice",Joseph Dancey,,Related to member directly,Partner,https://interests-api.parliament.uk/api/v1/Interests/1202,
1196,Owen Edwards employed as Lobbyist,,2022-11-29,2023-12-17,2023-07-20,,Family members engaged in third-party lobbying,4808,Ruth Edwards,Associate Director,JBP Associates,Owen Edwards,,Related to member directly,Spouse,https://interests-api.parliament.uk/api/v1/Interests/1196,
1200,Joseph Jones employed as Lobbyist,,2021-04-28,2023-12-17,2022-12-09,,Family members engaged in third-party lobbying,4631,Sarah Jones,Director,"Flint Global (which advises international businesses and investors on policy, politics, regulation, and competition issues in European markets)",Joseph Jones,,Related to member directly,Son,https://interests-api.parliament.uk/api/v1/Interests/1200,
1199,Sophia Javid employed as Lobbyist,,2022-05-31,2023-12-17,2023-07-05,,Family members engaged in third-party lobbying,3945,Sir Sajid Javid,Account Executive,Hanover Communications,Sophia Javid,2023-05-19,Related to member directly,Daughter,https://interests-api.parliament.uk/api/v1/Interests/1199,
1204,Alice Whittingdale employed as Lobbyist,,2019-01-21,2023-12-17,2022-04-06,2022-04-21,Family members engaged in third-party lobbying,39,Sir John Whittingdale,Consultant,Pagefield Communications,Alice Whittingdale,2023-05-12,Related to member directly,Daughter,https://interests-api.parliament.uk/api/v1/Interests/1204,2023-08-18
1193,Nicholas Gash employed as Lobbyist,,2015-06-08,2023-12-17,,,Family members engaged in third-party lobbying,4389,Ruth Cadbury,"Sole trader, providing policy and public affairs advice to clients",Self Employed,Nicholas Gash,,Related to member directly,Spouse,https://interests-api.parliament.uk/api/v1/Interests/1193,
1191,Sara Bristow employed as Lobbyist,,2020-01-09,2023-12-17,2020-11-30,2022-10-27,Family members engaged in third-party lobbying,4792,Paul Bristow,Head of Healthcomms,PLMR (Political Lobbying & Media Relations Limited); a public relations consultancy,Sara Bristow,,Related to member directly,Spouse,https://interests-api.parliament.uk/api/v1/Interests/1191,
1194,Andrew Clark employed as Lobbyist,,2020-01-10,2023-12-17,,,Family members engaged in third-party lobbying,4822,Feryal Clark,Director,Kanda Consultancy,Andrew Clark,,Related to member directly,Spouse,https://interests-api.parliament.uk/api/v1/Interests/1194,
1205,Alice Whittingdale employed as Lobbyist,,2023-08-07,2023-12-17,,,Family members engaged in third-party lobbying,39,Sir John Whittingdale,Senior Consultant,Hanover Communications,Alice Whittingdale,,Related to member directly,Daughter,https://interests-api.parliament.uk/api/v1/Interests/1205,
1195,Owen Edwards employed as Lobbyist,,2022-07-15,2023-12-17,2023-07-20,,Family members engaged in third-party lobbying,4808,Ruth Edwards,Coalition Coordinator,Better Planning Coalition,Owen Edwards,2023-06-30,Related to member directly,Spouse,https://interests-api.parliament.uk/api/v1/Interests/1195,
1192,Emma Petela employed as Lobbyist,,2020-03-20,2023-12-17,,,Family members engaged in third-party lobbying,4792,Paul Bristow,Director,GK Strategy Ltd; a public relations consultancy,Emma Petela,,Related to spouse,Sister,https://interests-api.parliament.uk/api/v1/Interests/1192,
1203,Oscar Tami employed as Lobbyist,,2022-06-22,2023-12-17,,,Family members engaged in third-party lobbying,1383,Sir Mark Tami,Account Executive,Lodestone Communications; a public relations company,Oscar Tami,,Related to member directly,Son,https://interests-api.parliament.uk/api/v1/Interests/1203,
1197,Daniel Paterson employed as Lobbyist,,2021-11-16,2023-12-17,,,Family members engaged in third-party lobbying,4918,Sarah Green,Self-employed political consultant,Self Employed,Daniel Paterson,,Related to member directly,Partner,https://interests-api.parliament.uk/api/v1/Interests/1197,
