ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,VisitLocations_Country_1,VisitLocations_Destination_1,Purpose,StartDate,EndDate,Appg,Donors_Name_1,Donors_IsPrivateIndividual_1,Donors_PublicAddress_1,Donors_PaymentType_1,Donors_PaymentDescription_1,Donors_Value_1,Donors_IsSoleBeneficiary_1,Link,Donors_Name_2,Donors_IsPrivateIndividual_2,Donors_PublicAddress_2,Donors_PaymentType_2,Donors_PaymentDescription_2,Donors_Value_2,Donors_IsSoleBeneficiary_2,Donors_Name_3,Donors_IsPrivateIndividual_3,Donors_PublicAddress_3,Donors_PaymentType_3,Donors_PaymentDescription_3,Donors_Value_3,Donors_IsSoleBeneficiary_3,VisitLocations_Country_2,VisitLocations_Destination_2,Donors_Name_4,Donors_IsPrivateIndividual_4,Donors_PublicAddress_4,Donors_PaymentType_4,Donors_PaymentDescription_4,Donors_Value_4,Donors_IsSoleBeneficiary_4,Donors_Name_5,Donors_IsPrivateIndividual_5,Donors_PublicAddress_5,Donors_PaymentType_5,Donors_PaymentDescription_5,Donors_Value_5,Donors_IsSoleBeneficiary_5,Updated_2
5888,International visit to France between 14 May 2024 and 18 May 2024,,2024-05-28,2024-05-28,,Visits outside the UK,4014,Lord Sharma,France,Paris,"In connection with my role as Rockefeller Foundation Climate and Finance Fellow, participating in meetings and speaking at the ""COP29-International Energy Agency High-Level Energy Transition Dialogue"".",2024-05-14,2024-05-18,,Rockefeller Foundation,False,"420 Fifth Avenue, New York City, New York, U.S.",In kind,"Transport (train £364), accommodation (£444)",808.00,True,https://interests-api.parliament.uk/api/v1/Interests/5888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5909,International visit to Ethiopia between 12 May 2024 and 17 May 2024,,2024-05-24,2024-05-28,,Visits outside the UK,4767,James Sunderland,Ethiopia,,"As Vice-Chair of the APPG on Malaria and Neglected Tropical Diseases, to see first-hand the impact of these diseases on local communities and the work of governments, civil society, health workers, research institutions and local communities in tackling them within an endemic country.",2024-05-12,2024-05-17,All-Party Parliamentary Group on Malaria and Neglected Tropical Diseases,All-Party Parliamentary Group on Malaria and Neglected Tropical Diseases,False,"c/o Malaria No More UK, Millbank Tower, 21-24 Millbank, London SW1P 4QP",In kind,"Flights (£1,170), visa (£60), accommodation (£540), travel medication (£20), food and in-country expenses (£245)",2035.00,True,https://interests-api.parliament.uk/api/v1/Interests/5909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5905,International visit to Qatar between 19 May 2024 and 23 May 2024,,2024-05-28,2024-05-28,,Visits outside the UK,1398,Wayne David,Qatar,Doha,To attend an international conference addressing foreign policy and security issues.,2024-05-19,2024-05-23,,Qatar International Academy for Security Studies,False,"Lusail, Doha, Qatar",In kind,"Flights (£4,803) and accommodation (£1,376)",6179.00,True,https://interests-api.parliament.uk/api/v1/Interests/5905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5879,International visit to Ireland between 10 May 2024 and 12 May 2024,,2024-05-24,2024-05-24,,Visits outside the UK,185,Jeremy Corbyn,Ireland,Dublin,To speak at the Robert Tressell Festival.,2024-05-10,2024-05-12,,Robert Tressell Festival Organising Committee,False,"Connect Trade Union, 6, Gardiner Row, Dublin 1",In kind,Flights (£234.60) and accommodation (£540.42),775.02,True,https://interests-api.parliament.uk/api/v1/Interests/5879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5831,International visit to Italy between 19 April 2024 and 21 April 2024,,2024-05-21,2024-05-24,,Visits outside the UK,4815,Mark Logan,Italy,,German-British Dialogue.,2024-04-19,2024-04-21,,Konrad Adenauer Stiftung,False,"42 Essex Street, London WC2R 3JF",In kind,"Flights (£442), accommodation and food (£669.76)",1111.76,True,https://interests-api.parliament.uk/api/v1/Interests/5831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5852,International visit to United States between 06 May 2024 and 11 May 2024,,2024-05-23,2024-05-23,,Visits outside the UK,4829,Sam Tarry,United States,Washington DC,"Fact-finding political delegation to strengthen transatlantic relations and to discuss joint UK-US foreign policy challenges with US politicians, policymakers and experts.",2024-05-06,2024-05-11,,Coalition for Global Prosperity (CGP),False,"1 Horse Guards Avenue, London SW1A 2HU",In kind,"Transport (£487.09), accommodation, tax and room charges (£1,568.35), food (£233.20), and flights (£855.43)",3144.07,True,https://interests-api.parliament.uk/api/v1/Interests/5852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5857,International visit to United States between 28 April 2024 and 03 May 2024,,2024-05-23,2024-05-23,,Visits outside the UK,4790,Apsana Begum,United States,,To attend the United Nations Commission on Population and Development 2024.,2024-04-28,2024-05-03,"Population, Development & Reproductive Health",European Parliamentary Forum on Sexual and Reproductive Rights,False,"Sq. de Meeûs 18, 1050 Ixelles, Belgium",In kind,"Flight and visa (£884.30), accommodation (£1070.48), other travel/misc (£239.59), per diem (£551.07), other food and drinks (£177.99)",2923.43,True,https://interests-api.parliament.uk/api/v1/Interests/5857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5851,International visit to Qatar between 26 April 2024 and 01 May 2024,,2024-05-22,2024-05-23,,Visits outside the UK,4086,Alun Cairns,Qatar,,"Cross Party delegation to engage with Ministers, Council Members and Senior Officials on UK-Qatari interests focussed on foreign policy, including Qatar's role in seeking to resolve regional conflict.",2024-04-26,2024-05-01,,Ministry of Foreign Affairs,False,"Almirqab Tower, West Bay, Doha",In kind,"Flights, accommodation, food and miscellaneous costs",5800.00,True,https://interests-api.parliament.uk/api/v1/Interests/5851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5840,International visit to Bangladesh between 12 May 2024 and 18 May 2024,,2024-05-21,2024-05-22,,Visits outside the UK,4511,Dr Rupa Huq,Bangladesh,Dhaka,"To participate in the UNFPA Global Dialogues on Demographic Diversity and Sustainable Development in the framework of ICPD 30, and a mini study tour on SRHR in Bangladesh.",2024-05-12,2024-05-18,,European Parliamentary Forum for Sexual and Reproductive Rights,False,"Square de Meeûs 18, 1050 Brussels",In kind,"Flights, hotel, per diem, visa, taxi and UK transport",2051.20,True,https://interests-api.parliament.uk/api/v1/Interests/5840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5829,International visit to United States between 06 May 2024 and 10 May 2024,,2024-05-21,2024-05-22,,Visits outside the UK,4638,Mr Tanmanjeet Singh Dhesi,United States,Washington DC,"Fact-finding political delegation to strengthen transatlantic relations and to discuss joint UK-US foreign policy challenges with US politicians, policymakers and experts.",2024-05-06,2024-05-10,,Coalition for Global Prosperity (CGP),False,"1 Horse Guards Avenue, London SW1A 2HU",In kind,"Transport (£443.24), accommodation, tax and room charges (£1,568.35), food (£233.20), and flights (£855.43), airport parking (£81.70)",3181.92,True,https://interests-api.parliament.uk/api/v1/Interests/5829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5825,International visit to Qatar between 26 April 2024 and 01 May 2024,,2024-05-20,2024-05-21,,Visits outside the UK,4870,Florence Eshalomi,Qatar,Doha,"Cross Party delegation visit to engage with Qatari Ministers, senior officials, British Ambassador, council members and local organisations on UK-Qatari interests.",2024-04-26,2024-05-01,,"Ministry of Foreign Affairs, Qatar",False,"Almirqab Tower, West Bay, Doha, Qatar",In kind,"Flights, accommodation, and food",5800.00,True,https://interests-api.parliament.uk/api/v1/Interests/5825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5773,International visit to United States between 06 May 2024 and 10 May 2024,,2024-05-15,2024-05-17,,Visits outside the UK,4359,Stephen Kinnock,United States,Washington DC,"Fact-finding political delegation to strengthen transatlantic relations and to discuss joint UK-US foreign policy challenges with US politicians, policymakers and experts.",2024-05-06,2024-05-10,,Coalition for Global Prosperity (CGP),False,"1 Horse Guards Avenue, London SW1A 2HU",In kind,"Transport (£443.24), accommodation, tax and room charges (£1,568.35), food (£233.20) and flights (£855.43)",3100.22,True,https://interests-api.parliament.uk/api/v1/Interests/5773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
