ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,StartDate,EndDate,IsSoleOwner,Location,PropertyDescription,PropertyOwnerDetails,RegistrableRentalIncome,RentalIncomeDetails,RentalIncomeStartDate,RentalIncomeEndDate,NumberOfProperties,IsLand,IsAnyRentalIncomePaidToAnotherPerson,Country,LandUse,PropertyType,Link,Updated_2,Updated_3
5741,Property in Co Cork,,2024-05-14,2024-05-16,,Land and property (within or outside the UK),4739,Jerome Mayhew,2024-04-29,,True,Co Cork,house,,True,,,,1,False,False,Ireland,,Residential,https://interests-api.parliament.uk/api/v1/Interests/5741,,
5625,Property in Wiltshire,,2015-09-03,2024-05-07,2024-04-30,Land and property (within or outside the UK),261,James Gray,,2023-11-01,True,Wiltshire,,,True,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/5625,,
5460,Property in Nottingham,,2024-04-24,2024-04-24,,Land and property (within or outside the UK),4055,Sir Mark Spencer,2024-03-25,,False,Nottingham,House,Co-owned with my Wife,True,,2024-04-22,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/5460,,
2254,Property in Bridgend County Borough,,2018-01-18,2024-04-15,2024-04-15,Land and property (within or outside the UK),4525,Christina Rees,2017-12-08,2024-03-18,True,Bridgend County Borough,,,False,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/2254,,
5052,Property in unspecified,,2024-03-28,2024-04-03,,Land and property (within or outside the UK),609,George Galloway,2024-03-01,,True,unspecified,House,,False,,,,1,False,False,Portugal,,Residential,https://interests-api.parliament.uk/api/v1/Interests/5052,,
5051,Residential in Southend on Sea,,2023-12-19,2024-03-18,2024-01-11,Land and property (within or outside the UK),4981,Ashley Dalton,2023-10-03,,False,Southend on Sea,,Owned jointly with my wife.,True,,2023-12-01,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/5051,,
3798,Residential in London,,2024-03-04,2024-03-14,,Land and property (within or outside the UK),4518,Tulip Siddiq,2022-12-01,,False,London,Flat,Owned with my husband.,True,The rent is being paid to my husband.,2022-12-01,,1,False,True,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/3798,,
2784,Property in Southend,,2022-02-25,2024-01-01,2023-04-04,Land and property (within or outside the UK),4936,Anna Firth,,,False,Southend,house,"Joint owner, property held in trust",True,Paid to an older family member,,,1,False,True,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/2784,,
2973,"Property in Warrington, Cheshire",,2015-05-01,2024-01-01,2013-11-11,Land and property (within or outside the UK),3958,Fiona Bruce,,,False,"Warrington, Cheshire",properties,owned jointly with my husband,True,,,,2,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/2973,2016-02-16,2021-10-29
2977,Property in Warrington,,2021-03-15,2024-01-01,2021-03-16,Land and property (within or outside the UK),3958,Fiona Bruce,2021-02-26,,False,Warrington,property,"with my husband, a part interest",True,,2021-02-26,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/2977,2021-10-29,
2816,Residential in Surrey,,2021-08-26,2024-01-01,,Land and property (within or outside the UK),4018,Helen Grant,2020-12-03,,False,Surrey,property,owned jointly with my husband,True,,2020-12-03,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/2816,,
