mnis_id,member,employer,role,nature_of_business,address,row_type,date_display,earnings,hours,rate_display
8,Baroness May of Maidenhead,Washington Speakers Bureau,Speaking engagements,a speaking agency,"1663 Prince Street, Alexandria, VA 22314",adhoc,5 Mar 2024,103000.0,5.0,
14,Lord Redwood,Charles Stanley,Global Strategist,"A UK investment manager owned by Raymond James, a quoted US company","55 Bishopsgate, London EC2N 3AS",ongoing,1 Jan 2024 – ongoing,80800.0,246.4,"£49,187/quarterly · 50h/monthly"
14,Lord Redwood,Charles Stanley,Global Strategist,"A UK investment manager owned by Raymond James, a quoted US company","55 Bishopsgate, London EC2N 3AS",adhoc,22 Dec 2023,25000.0,0.0,
14,Lord Redwood,EPIC Private Equity,Member of the Advisory Board,,"Audrey House, 16-20 Ely Place, London EC1N 6SN",ongoing,1 Oct 2016 – ongoing,2806.3,6.7,"£5,000/yearly · 3h/quarterly (paid quarterly)"
40,Sir Bernard Jenkin,Aros Corporation Ltd,Writing articles in Diplomat Magazine,,,adhoc,12 Apr 2024,325.0,2.0,
40,Sir Bernard Jenkin,Aros Corporation Ltd,Writing articles in Diplomat Magazine,,,adhoc,25 Nov 2023,325.0,2.0,
103,Sir Paul Beresford,Beresford Dental Practice Limited,Part-time dental surgeon,,"207 Upper Richmond Road, SW15 6SQ",ongoing,22 Aug 2017 – ongoing,3367.56,168.4,£500/monthly · 300h/yearly (in the form of drawings)
111,Nick Gibb,Education Development Trust,Consultant,EDT is a global education consultancy,"Highbridge House, 16-18 Duke Street, Reading RG1 4BU",ongoing,1 May 2024 – 31 May 2025,1238.6,6.7,"£1,300/monthly · 7h/monthly"
114,Tim Loughton,Eden & Partners Ltd,Training sessions for NHS professionals,,"Snells Cottage, The Green, Newick, Lewes BN8 4LA",adhoc,20 Mar 2024,400.0,2.0,
114,Tim Loughton,National Fostering Group (formerly the Outcomes First Group),Adviser to and Chairman of the Quality and Safeguarding Board,,"Atria, Spa Road, Bolton, BL1 4AG",ongoing,7 Nov 2023 – ongoing,20766.6,80.8,"£37,000/yearly · 12h/monthly"
114,Tim Loughton,Consensus Support Services Ltd,Chairman of the Quality and Safeguarding Board,,"654 The Crescent, Colchester Business Park, Colchester CO4 9YQ",ongoing,1 Jun 2021 – ongoing,14031.49,67.4,"£25,000/yearly · 10h/monthly (paid monthly)"
140,Baroness Hodge of Barking,"Royal Holloway, University of London",Chair of University Council (RHUL),,"Egham Hill, Egham, TW20 0EX",adhoc,5 Apr 2024,20000.0,114.0,
146,Barry Gardiner,World Climate Initiative,Consultancy advice,,"8th Floor, 167 Fleet Street, London EC3A 2EA",ongoing,22 Nov 2022 – ongoing,18521.56,80.8,"£33,000/yearly · 12h/monthly (paid monthly)"
152,Sir Iain Duncan Smith,Daily Telegraph and Sunday Telegraph,Writing articles,,"111 Buckingham Palace Rd, London SW1W 0DT",adhoc,15 May 2024,250.0,4.0,
152,Sir Iain Duncan Smith,Daily Telegraph and Sunday Telegraph,Writing articles,,"111 Buckingham Palace Rd, London SW1W 0DT",adhoc,30 Apr 2024,250.0,4.0,
152,Sir Iain Duncan Smith,Daily Telegraph and Sunday Telegraph,Writing articles,,"111 Buckingham Palace Rd, London SW1W 0DT",adhoc,16 Apr 2024,250.0,4.0,
152,Sir Iain Duncan Smith,Daily Telegraph and Sunday Telegraph,Writing articles,,"111 Buckingham Palace Rd, London SW1W 0DT",adhoc,3 Apr 2024,250.0,4.0,
152,Sir Iain Duncan Smith,Daily Telegraph and Sunday Telegraph,Writing articles,,"111 Buckingham Palace Rd, London SW1W 0DT",adhoc,19 Mar 2024,250.0,4.0,
152,Sir Iain Duncan Smith,News UK and Ireland,Writing articles,,"1 London Bridge Street, London SE1 9GF",adhoc,23 Feb 2024,750.0,4.0,
152,Sir Iain Duncan Smith,Reach Shared Services Ltd,Writing articles,,"3rd Floor, 5 St Paul’s Square, Liverpool L3 9SJ",adhoc,20 Feb 2024,200.0,4.0,
152,Sir Iain Duncan Smith,Daily Telegraph and Sunday Telegraph,Writing articles,,"111 Buckingham Palace Rd, London SW1W 0DT",adhoc,20 Feb 2024,250.0,4.0,
152,Sir Iain Duncan Smith,Daily Telegraph and Sunday Telegraph,Writing articles,,"111 Buckingham Palace Rd, London SW1W 0DT",adhoc,6 Feb 2024,250.0,4.0,
152,Sir Iain Duncan Smith,Associated Newspapers Ltd (ANMFS Ltd),Writing articles,,"Northcliffe House, 2 Derry Street, London W8 5TT",adhoc,18 Jan 2024,600.0,4.0,
152,Sir Iain Duncan Smith,Reach Shared Services Ltd,Writing articles,,"3rd Floor, 5 St Paul’s Square, Liverpool L3 9SJ",adhoc,4 Jan 2024,400.0,4.0,
152,Sir Iain Duncan Smith,News UK and Ireland,Writing articles,,"1 London Bridge Street, London SE1 9GF",adhoc,27 Dec 2023,750.0,4.0,
152,Sir Iain Duncan Smith,Daily Telegraph and Sunday Telegraph,Writing articles,,"111 Buckingham Palace Rd, London SW1W 0DT",adhoc,27 Dec 2023,250.0,4.0,
152,Sir Iain Duncan Smith,Daily Telegraph and Sunday Telegraph,Writing articles,,"111 Buckingham Palace Rd, London SW1W 0DT",adhoc,12 Dec 2023,250.0,4.0,
152,Sir Iain Duncan Smith,Daily Telegraph and Sunday Telegraph,Writing articles,,"111 Buckingham Palace Rd, London SW1W 0DT",adhoc,12 Dec 2023,250.0,4.0,
152,Sir Iain Duncan Smith,Daily Telegraph and Sunday Telegraph,Writing articles,,"111 Buckingham Palace Rd, London SW1W 0DT",adhoc,14 Nov 2023,250.0,4.0,
206,Mr David Lammy,Independent Talent Group,Presenting radio shows on LBC,,"40 Whitfield Street, Bloomsbury, London W1T 2RH",adhoc,26 Apr 2024,5460.0,22.5,
206,Mr David Lammy,Independent Talent Group,Presenting radio shows on LBC,,"40 Whitfield Street, Bloomsbury, London W1T 2RH",adhoc,26 Mar 2024,3150.0,13.5,
206,Mr David Lammy,Independent Talent Group,Presenting radio shows on LBC,,"40 Whitfield Street, Bloomsbury, London W1T 2RH",adhoc,23 Feb 2024,5460.0,22.5,
206,Mr David Lammy,Independent Talent Group,Presenting radio shows on LBC,,"40 Whitfield Street, Bloomsbury, London W1T 2RH",adhoc,30 Jan 2024,9030.0,36.0,
206,Mr David Lammy,Independent Talent Group,Presenting radio shows on LBC,,"40 Whitfield Street, Bloomsbury, London W1T 2RH",adhoc,5 Jan 2024,2100.0,9.0,
206,Mr David Lammy,The Speaking Office,Speaking engagements,,"Unit 31 Highbury Studios, 10 Hornsey Street, London N7 8EL",adhoc,18 Dec 2023,5100.0,4.0,
206,Mr David Lammy,The Speaking Office,Speaking engagements,,"Unit 31 Highbury Studios, 10 Hornsey Street, London N7 8EL",adhoc,6 Dec 2023,5100.0,4.0,
206,Mr David Lammy,Independent Talent Group,Presenting radio shows on LBC,,"40 Whitfield Street, Bloomsbury, London W1T 2RH",adhoc,24 Nov 2023,5250.0,22.5,
206,Mr David Lammy,The Speaking Office,Speaking engagements,,"Unit 31 Highbury Studios, 10 Hornsey Street, London N7 8EL",adhoc,21 Nov 2023,5100.0,4.0,
223,Sir Liam Fox,Future Industry Association,"Speaking at the International Futures Industry Conference in Boca Raton, Florida, United States (9-11 March 2024)",,"2001 K Street, NW, Suite 725, North Tower, Washington, DC, 20006",adhoc,28 Feb 2024,7700.0,1.0,
223,Sir Liam Fox,Reach Shared Services Ltd,Writing articles,,"Third Floor, 5 St Paul's Square, Liverpool L3 9SJ",adhoc,16 Feb 2024,400.0,2.0,
234,Sir Gary Streeter,Rentplus-UK Ltd,Non-executive director,A company which provides rent to buy housing for young people,"II Exchange Square, 21 North Fourth Street, Milton Keynes MK9 1HL",ongoing,1 Jan 2024 – ongoing,14537.99,98.6,"£35,400/yearly · 20h/monthly"
249,Sir Geoffrey Clifton-Brown,East Beckham partnership,Partner,Arable farming,Norfolk,ongoing,7 Nov 2023 – ongoing,9833.26,0.0,"£17,520/yearly (The use of a car belonging to the partnership (value as a...)"
288,Sir William Cash,William Cash & Co,Solicitor,,"The Tithe Barn, Upton Cressett, nr Bridgnorth, WV16 6UH",adhoc,18 Mar 2024,15165.0,30.0,
350,Sir John Hayes,Reach Plc (Reach Shared Services Ltd),Columnist,,"5 St Pauls Sq., Liverpool L3 9SJ",adhoc,1 Dec 2023,400.0,2.0,
350,Sir John Hayes,University of Bolton,Part-time professor in Political Studies,,"Deane Road, Bolton BL3 5AB",ongoing,1 Apr 2020 – ongoing,23412.15,16.8,"£41,714/yearly · 30h/yearly (paid monthly)"
350,Sir John Hayes,BB Energy Trading Ltd,Strategic Adviser,an international energy company trading worldwide,"12-14 Ansdell St, London W8 5BN",ongoing,1 Sep 2018 – ongoing,28062.97,50.5,"£50,000/yearly · 90h/yearly"
350,Sir John Hayes,HBSA,President,technical and vocational education,"Burton and South Derbyshire College, Lichfield Road, Burton on Trent DE14 3RL",ongoing,29 May 2018 – ongoing,16837.78,28.1,"£30,000/yearly · 50h/yearly (paid quarterly (previously £20,000))"
373,David Davis,THI Investments UK Ltd,"Member of the Advisory Board of THI Holdings GmbH, Eberhardstrasse 65, 70173 Stuttgart",an investment company,"17 Grosvenor Street, London W1K 4QG",ongoing,1 Dec 2019 – ongoing,19026.69,9.0,"£33,900/yearly · 16h/yearly (paid quarterly)"
420,Yvette Cooper,Conville and Walsh,Writing a book,literary agent,"Haymarket House, London SW1Y 4SP",adhoc,30 Apr 2024,925.44,0.0,
435,Lord Brady of Altrincham,Bonnier Books,Writing a book,Publisher of Books and the company will be publishing my forthcoming book in November 2024,"Suite 7, The Plaza, 535 Kings Road, London SW10 0SZ",adhoc,28 Mar 2024,37500.0,40.0,
435,Lord Brady of Altrincham,Medannex Limited,Non-executive director,Scottish biopharmaceutical company,"1 Lochrin Square, Foutainbridge, Edinburgh EH3 9QA",ongoing,1 Feb 2024 – 31 Jan 2026,11728.95,2.6,"£36,000/yearly · 8h/yearly"
435,Lord Brady of Altrincham,Global Banking School Ltd and Metagedu Apprenticeships Ltd,Adviser on Communications and Strategy,,"891 Greenford Road, Greenford, London UB6 0HE",ongoing,1 Mar 2023 – ongoing,20205.34,20.2,"£3,000/monthly · 3h/monthly"
435,Lord Brady of Altrincham,Young Chef Young Waiter,Adviser,,"Langdon Court Ltd, Down Thomas, Wembury, Plymouth PLY 0DY",ongoing,1 Jan 2023 – ongoing,6735.11,13.5,"£1,000/monthly · 2h/monthly"
435,Lord Brady of Altrincham,Primary Access and Research,Member of Advisory Board,,"64 Eaton Place, London SW1X 8AT",ongoing,1 Jun 2022 – ongoing,3367.56,6.7,"£6,000/yearly · 1h/monthly (Paid monthly)"
435,Lord Brady of Altrincham,Political Engagement Ltd (previously Dods Group Limited),Chair of the Parliamentary Advisory Board (formerly Editor) of the House Magazine,,"11th Floor, Millbank, London SW1P 4QP",ongoing,15 Feb 2021 – ongoing,14592.74,67.4,"£26,000/yearly · 10h/monthly (paid monthly)"
1390,Mr John Baron,FT’s Investors' Chronicle,Columnist,,"Number One Southwark Bridge, London SE1 9HL",ongoing,1 Sep 2023 – ongoing,6735.11,20.2,"£1,000/monthly · 3h/monthly"
1390,Mr John Baron,Baron and Grant Investment Management Limited,Chair Investment Committee of Baron and Grant Investment Management Limited,a fund management company,"66 Lincoln’s Inn Fields, London WC2A 3LH",ongoing,30 Apr 2021 – ongoing,3367.56,33.7,£500/monthly · 5h/monthly
1397,Hywel Williams,ITV Entertainment,Appearances on Christmas University Challenge,,"Trafford Wharf Road, Trafford M17 1FZ",adhoc,4 Dec 2023,1200.0,18.0,
1406,Jon Cruddas,Richmond University (the American International University in London),Adjunct Associate Professor in British Government and Politics for one semester,,Queen’s Road Richmond-upon-Thames TW10 6JP,adhoc,24 Nov 2023,416.94,4.0,
1413,Lord Grayling,Hutchison Ports Europe,Strategic Adviser,,"5 Hester Road, London SW11 4AN",ongoing,1 Sep 2020 – 31 Aug 2024,56125.94,204.8,"£100,000/yearly · 7h/weekly (paid quarterly)"
1425,Mr Jonathan Djanogly,Pembroke VCT plc,Chairman,A venture capital trust,"3 Cadogan Gate, London SW1X 0AS",ongoing,10 Nov 2020 – ongoing,16837.78,18.0,"£30,000/yearly · 32h/yearly"
1428,Sir Bill Wiggin,Emerging Asset Management Ltd,Managing Director and Board Director,,"58 Par-la-Ville Road, 4th floor, Vallis Building, Hamilton, Bermuda",adhoc,26 Apr 2024,3796.38,0.0,
1428,Sir Bill Wiggin,Allpay Limited; payment collection,Non-executive director,,"Fortis et Fides, Whitestone Business park, Whitestone, Hereford HR1 3SE",adhoc,24 Apr 2024,550.0,4.0,
1428,Sir Bill Wiggin,Emerging Asset Management Ltd,Managing Director and Board Director,,"58 Par-la-Ville Road, 4th floor, Vallis Building, Hamilton, Bermuda",adhoc,23 Jan 2024,27644.5,0.0,
1428,Sir Bill Wiggin,Allpay Limited; payment collection,Non-executive director,,"Fortis et Fides, Whitestone Business park, Whitestone, Hereford HR1 3SE",ongoing,12 Nov 2021 – ongoing,2245.04,5.6,"£4,000/yearly · 10h/yearly"
1428,Sir Bill Wiggin,Emerging Asset Management Ltd,Managing Director and Board Director,,"58 Par-la-Ville Road, 4th floor, Vallis Building, Hamilton, Bermuda",ongoing,1 Jan 2019 – ongoing,27580.29,234.1,"£49,140/yearly · 8h/weekly ((£4,095 monthly))"
