mnis_id,name,party,constituency,adhoc_earnings,adhoc_hours,ongoing_earnings,ongoing_hours,total_earnings,total_hours,summary
4483,Rishi Sunak,Conservative,Richmond and Northallerton,948253.61,169.5,1155834.17,315.4,2104087.78,484.9,"£948k from 11 ad hoc payments (Washington Speakers Bureau and Hoover Institution). £1.2m from 3 ongoing roles (Goldman Sachs International, Anthropic Public Benefit Corporation and 1 other)."
5091,Nigel Farage,Reform UK,Clacton,1565411.15,1172.0,85289.53,341.2,1650700.68,1513.2,"£1.6m from 93 ad hoc payments (GB News Ltd, Direct Bullion and 13 others). £85k from 1 ongoing role (Telegraph media group)."
1508,Sir Geoffrey Cox,Conservative,Torridge and Tavistock,830186.51,592.5,521332.24,639.7,1351518.75,1232.2,"£830k from 32 ad hoc payments (The Khan Partnership, Travers Thorp Alberga and 9 others). £521k from 1 ongoing role (Withers LLP)."
1572,Sir Jeremy Hunt,Conservative,Godalming and Ash,440470.0,86.8,0.0,0.0,440470.0,86.8,"£440k from 33 ad hoc payments (Chartwell Partners Ltd, RL Datix (EBT) Ltd and 4 others)."
4441,Sir Oliver Dowden,Conservative,Hertsmere,337500.0,646.0,0.0,0.0,337500.0,646.0,"£338k from 23 ad hoc payments (Pierce Protocols Limited trading as Heni, Caxton Associates LLP and 1 other)."
4020,George Freeman,Conservative,Mid Norfolk,12000.0,8.0,305051.33,1388.2,317051.33,1396.2,"£12k from 4 ad hoc payments (Oxford Institute of Digital Health, The Guy Foundation Family Trust and 1 other). £305k from 10 ongoing roles (Pioneer Group Limited, Nighthawk Partners Limited and 7 others)."
5062,Nick Timothy,Conservative,West Suffolk,0.0,0.0,257645.45,277.9,257645.45,277.9,£258k from 1 ongoing role (Daily Telegraph).
4743,Lee Anderson,Reform UK,Ashfield,6250.42,306.0,177686.52,741.2,183936.94,1047.2,£6k from 40 ad hoc payments (X Corp). £178k from 1 ongoing role (GB News Limited).
350,Sir John Hayes,Conservative,South Holland and The Deepings,13122.5,37.0,162962.7,781.8,176085.2,818.8,£13k from 5 ad hoc payments (Richmond American University London and Reach Plc (Reach Shared Services Ltd)). £163k from 2 ongoing roles (BB Energy Trading Ltd and University of Greater Manchester).
1576,Mark Pritchard,Conservative,The Wrekin,0.0,0.0,162628.34,180.7,162628.34,180.7,£163k from 1 ongoing role (ATS Group).
4051,John Glen,Conservative,Salisbury,0.0,0.0,151786.45,75.9,151786.45,75.9,£152k from 1 ongoing role (Open Banking Limited).
4108,Sir Gavin Williamson,Conservative,"Stone, Great Wyrley and Penkridge",0.0,0.0,136049.28,366.0,136049.28,366.0,£136k from 2 ongoing roles (RTC Education Ltd and Odysight AI).
1446,Chris Bryant,Labour,Rhondda and Ogmore,133677.62,106.0,0.0,0.0,133677.62,106.0,"£134k from 12 ad hoc payments (United Agents, ALCS and 1 other)."
4462,Tom Tugendhat,Conservative,Tonbridge,29759.26,81.0,70858.46,237.8,100617.72,318.8,"£30k from 26 ad hoc payments (Spoken Ltd, Telegraph Media Group Limited and 7 others). £71k from 2 ongoing roles (Sulnox Group Plc and Observer Research Foundation Middle East)."
4823,John Finucane,Sinn Féin,Belfast North,0.0,0.0,99618.17,1705.8,99618.17,1705.8,£100k from 1 ongoing role (Finucane Toner Ltd).
5197,Dr Neil Shastri-Hurst,Conservative,Solihull West and Shirley,98867.99,603.6,0.0,0.0,98867.99,603.6,£99k from 65 ad hoc payments (No5 Chambers and Confidential in accordance with footnote 9 of paragraph 8(b) of the Code of Conduct and Guide to the Rules).
5067,Tony Vaughan,Labour,Folkestone and Hythe,96975.91,272.1,0.0,0.0,96975.91,272.1,"£97k from 33 ad hoc payments (Doughty Street Chambers, Legal Aid Agency and 1 other)."
4366,Sir James Cleverly,Conservative,Braintree,80367.5,119.0,16372.35,114.9,96739.85,233.9,£80k from 8 ad hoc payments (JLA Speakers Ltd). £16k from 1 ongoing role (BOKA Capital Ltd).
4475,Suella Braverman,Reform UK,Fareham and Waterlooville,95514.71,312.0,0.0,0.0,95514.71,312.0,"£96k from 38 ad hoc payments (Telegraph Media Group Holdings Ltd, Coulthwaite Group Pte Ltd (trading as CWG Speakers) and 2 others)."
5161,Richard Tice,Reform UK,Boston and Skegness,6953.06,200.0,84533.06,609.9,91486.12,809.9,£7k from 7 ad hoc payments (X formerly Twitter). £85k from 2 ongoing roles (Quidnet REIT Ltd).
5231,Mr Adnan Hussain,Independent,Blackburn,0.0,0.0,90620.12,4357.1,90620.12,4357.1,£91k from 2 ongoing roles (Bank View Solicitors Limited and Clarity Legal Ltd).
4008,Dame Caroline Dinenage,Conservative,Gosport,0.0,0.0,88843.26,533.1,88843.26,533.1,£89k from 1 ongoing role (LNT Care Developments Group).
1211,Sir Andrew Mitchell,Conservative,Sutton Coldfield,0.0,0.0,83431.99,113.7,83431.99,113.7,£83k from 2 ongoing roles (Africa50 and SuBaha Investments).
5267,Yuan Yang,Labour,Earley and Woodley,77834.29,2.0,0.0,0.0,77834.29,2.0,"£78k from 6 ad hoc payments (RCW Literary Agency, Grupa Wydawnicza Foksal Ltd and 1 other)."
221,Dan Norris,Independent,North East Somerset and Hanham,1559.68,0.0,75632.61,1135.4,77192.29,1135.4,£2k from 1 ad hoc payment (West of England Mayoral Combined Authority). £76k from 1 ongoing role (West of England Mayoral Combined Authority).
5176,Baggy Shanker,Labour (Co-op),Derby South,68671.51,100.0,0.0,0.0,68671.51,100.0,£69k from 5 ad hoc payments (Rolls-Royce Civil Aerospace and Derby City Council).
5158,Rupert Lowe,Restore Britain,Great Yarmouth,67145.37,186.0,0.0,0.0,67145.37,186.0,£67k from 35 ad hoc payments (X Corp and GB News).
373,David Davis,Conservative,Goole and Pocklington,0.0,0.0,60235.73,28.4,60235.73,28.4,£60k from 1 ongoing role (THI Investments UK Ltd).
3912,Richard Fuller,Conservative,North Bedfordshire,0.0,0.0,59247.09,308.1,59247.09,308.1,£59k from 2 ongoing roles (Investcorp Securities Ltd and Bloomsbury Home Care Limited).
4370,Jess Phillips,Labour,Birmingham Yardley,58757.92,8.0,0.0,0.0,58757.92,8.0,"£59k from 9 ad hoc payments (United Agents, News UK & Ireland and 2 others)."
5239,Sarah Gibson,Liberal Democrat,Chippenham,27512.04,502.6,30219.67,539.6,57731.71,1042.2,£28k from 19 ad hoc payments (University of Bath and Wiltshire Council). £30k from 2 ongoing roles (Wiltshire Council and University of Bath).
4651,Dan Carden,Labour,Liverpool Walton,6850.0,20.0,50178.04,194.1,57028.04,214.1,£7k from 2 ad hoc payments (Steps Together Rehab (St Helen's) Ltd and Associated Newspapers Ltd (ANMFS Ltd)). £50k from 2 ongoing roles (Steps Together Group Ltd and Green Rock Robotics INC.).
249,Sir Geoffrey Clifton-Brown,Conservative,North Cotswolds,27111.05,255.0,26652.98,476.2,53764.03,731.2,£27k from 1 ad hoc payment (East Beckham partnership). £27k from 1 ongoing role (East Beckham partnership).
1466,Dr Andrew Murrison,Conservative,South West Wiltshire,53738.93,912.0,0.0,0.0,53738.93,912.0,£54k from 8 ad hoc payments (Royal Naval Reserve).
5213,Dr Zubir Ahmed,Labour,Glasgow South West,51688.0,676.0,1424.72,19.3,53112.72,695.3,£52k from 3 ad hoc payments (NHS golden jubilee and NHS Fife). £1k from 1 ongoing role (NHS golden jubilee).
5082,Jake Richards,Labour,Rother Valley,52070.0,0.0,0.0,0.0,52070.0,0.0,£52k from 17 ad hoc payments (Deka Chambers).
4095,Steve Barclay,Conservative,North East Cambridgeshire,52000.0,136.5,0.0,0.0,52000.0,136.5,"£52k from 13 ad hoc payments (BPP Holdings Limited (BPP),)."
5360,David Pinto-Duschinsky,Labour,Hendon,51639.21,0.0,0.0,0.0,51639.21,0.0,£52k from 3 ad hoc payments (EY).
5119,Natasha Irons,Labour,Croydon East,47219.0,0.0,178.28,8.6,47397.28,8.6,£47k from 1 ad hoc payment (Channel 4 Television). £178 from 1 ongoing role (Channel 4 Television).
4592,Dr Caroline Johnson,Conservative,Sleaford and North Hykeham,713.4,0.0,46574.48,597.0,47287.88,597.0,£713 from 1 ad hoc payment (North West Anglia NHS Foundation Trust). £47k from 1 ongoing role (North West Anglia NHS Foundation Trust).
5295,Josh Fenton-Glynn,Labour,Calder Valley,0.0,0.0,46853.8,1297.0,46853.8,1297.0,£47k from 1 ongoing role (Calderdale Council).
172,Ms Diane Abbott,Independent,Hackney North and Stoke Newington,43200.0,44.0,0.0,0.0,43200.0,44.0,"£43k from 3 ad hoc payments (Viking- Penguin via Blake Friedmann Literary, TV & Film Agency Ltd and Penguin Audio via Blake Friedmann Literary, TV & Film Agency Ltd)."
4356,Angela Rayner,Labour,Ashton-under-Lyne,39000.0,8.4,0.0,0.0,39000.0,8.4,"£39k from 3 ad hoc payments (JLA Speakers Ltd, Chartwell Speakers and 1 other)."
